,seq_id,hubway_id,status,duration,start_date,strt_statn,end_date,end_statn,bike_nr,subsc_type,zip_code,birth_date,gender,age,check_out_hour,g1,g2,g3
96,109,136,Closed,781.0,7/28/2011 13:47:00,45.0,7/28/2011 14:00:00,46.0,B00431,1,'02139,1986.0,1,25.0,13,0.0,1.0,0.0
97,110,137,Closed,416.0,7/28/2011 13:47:00,43.0,7/28/2011 13:54:00,47.0,B00550,1,'01867,1956.0,1,55.0,13,0.0,1.0,0.0
98,111,138,Closed,1203.0,7/28/2011 13:48:00,20.0,7/28/2011 14:08:00,23.0,B00375,1,'02474,1955.0,0,56.0,13,1.0,0.0,0.0
99,112,139,Closed,762.0,7/28/2011 13:51:00,49.0,7/28/2011 14:04:00,31.0,B00353,1,'02474,1966.0,1,45.0,13,0.0,1.0,0.0
100,114,141,Closed,208.0,7/28/2011 13:59:00,47.0,7/28/2011 14:03:00,38.0,B00539,1,'02130,1975.0,1,36.0,13,0.0,1.0,0.0
101,115,142,Closed,2920.0,7/28/2011 14:05:00,23.0,7/28/2011 14:54:00,31.0,B00454,1,'02151,1987.0,0,24.0,14,1.0,0.0,0.0
102,119,146,Closed,1685.0,7/28/2011 14:34:00,8.0,7/28/2011 15:02:00,46.0,B00429,1,'02134,1986.0,1,25.0,14,0.0,1.0,0.0
103,129,156,Closed,943.0,7/28/2011 15:02:00,22.0,7/28/2011 15:18:00,40.0,B00552,1,'02139,1986.0,1,25.0,15,0.0,1.0,0.0
104,131,158,Closed,1094.0,7/28/2011 15:06:00,49.0,7/28/2011 15:24:00,24.0,B00082,1,'02116,1982.0,0,29.0,15,1.0,0.0,0.0
105,136,163,Closed,1224.0,7/28/2011 15:25:00,36.0,7/28/2011 15:46:00,38.0,B00543,1,'01742,1962.0,1,49.0,15,0.0,1.0,0.0
106,142,170,Closed,946.0,7/28/2011 15:51:00,33.0,7/28/2011 16:07:00,36.0,B00385,1,'01545,1965.0,1,46.0,15,0.0,1.0,0.0
107,143,171,Closed,731.0,7/28/2011 15:51:00,40.0,7/28/2011 16:03:00,22.0,B00514,1,'02139,1986.0,1,25.0,15,0.0,1.0,0.0
108,146,174,Closed,386.0,7/28/2011 15:55:00,24.0,7/28/2011 16:01:00,48.0,B00082,1,'02113,1986.0,1,25.0,15,0.0,1.0,0.0
109,147,175,Closed,395.0,7/28/2011 15:57:00,5.0,7/28/2011 16:03:00,21.0,B00401,1,'02215,1962.0,1,49.0,15,0.0,1.0,0.0
110,152,181,Closed,635.0,7/28/2011 16:05:00,10.0,7/28/2011 16:16:00,36.0,B00231,1,'02127,1968.0,1,43.0,16,0.0,1.0,0.0
111,153,182,Closed,211.0,7/28/2011 16:06:00,23.0,7/28/2011 16:09:00,6.0,B00111,1,'02114,1966.0,1,45.0,16,0.0,1.0,0.0
112,154,184,Closed,722.0,7/28/2011 16:08:00,22.0,7/28/2011 16:20:00,24.0,B00462,1,'02139,1986.0,1,25.0,16,0.0,1.0,0.0
113,156,186,Closed,157.0,7/28/2011 16:13:00,23.0,7/28/2011 16:16:00,23.0,B00546,1,'02130,1982.0,0,29.0,16,1.0,0.0,0.0
114,157,187,Closed,158.0,7/28/2011 16:15:00,3.0,7/28/2011 16:18:00,14.0,B00190,1,'02109,1987.0,0,24.0,16,1.0,0.0,0.0
115,159,189,Closed,423.0,7/28/2011 16:17:00,22.0,7/28/2011 16:24:00,44.0,B00472,1,'02351,1978.0,1,33.0,16,0.0,1.0,0.0
116,161,191,Closed,1003.0,7/28/2011 16:18:00,22.0,7/28/2011 16:35:00,38.0,B00464,1,'01944,1982.0,0,29.0,16,1.0,0.0,0.0
117,163,193,Closed,753.0,7/28/2011 16:22:00,38.0,7/28/2011 16:34:00,42.0,B00016,1,'02144,1986.0,1,25.0,16,0.0,1.0,0.0
118,165,197,Closed,1143.0,7/28/2011 16:23:00,22.0,7/28/2011 16:42:00,31.0,B00350,1,'02144,1978.0,1,33.0,16,0.0,1.0,0.0
119,169,201,Closed,330.0,7/28/2011 16:34:00,42.0,7/28/2011 16:40:00,16.0,B00353,1,'02116,1979.0,1,32.0,16,0.0,1.0,0.0
120,170,202,Closed,1485.0,7/28/2011 16:36:00,38.0,7/28/2011 17:01:00,32.0,B00187,1,'02131,1967.0,1,44.0,16,0.0,1.0,0.0
121,173,205,Closed,233.0,7/28/2011 16:38:00,44.0,7/28/2011 16:42:00,38.0,B00151,1,'01719,1971.0,1,40.0,16,0.0,1.0,0.0
122,176,208,Closed,627.0,7/28/2011 16:42:00,3.0,7/28/2011 16:52:00,16.0,B00002,1,'02038,1974.0,1,37.0,16,0.0,1.0,0.0
123,178,210,Closed,1240.0,7/28/2011 16:44:00,36.0,7/28/2011 17:05:00,36.0,B00385,1,'02138,1947.0,0,64.0,16,1.0,0.0,0.0
124,181,214,Closed,413.0,7/28/2011 16:48:00,22.0,7/28/2011 16:55:00,40.0,B00275,1,'02109,1987.0,1,24.0,16,0.0,1.0,0.0
125,182,215,Closed,491.0,7/28/2011 16:52:00,43.0,7/28/2011 17:00:00,22.0,B00069,1,'02360,1969.0,0,42.0,16,1.0,0.0,0.0
126,183,216,Closed,695.0,7/28/2011 16:54:00,42.0,7/28/2011 17:05:00,43.0,B00170,1,'02025,1971.0,1,40.0,16,0.0,1.0,0.0
127,184,218,Closed,589.0,7/28/2011 16:56:00,22.0,7/28/2011 17:05:00,49.0,B00137,1,'01890,1978.0,1,33.0,16,0.0,1.0,0.0
128,186,220,Closed,515.0,7/28/2011 16:57:00,40.0,7/28/2011 17:05:00,38.0,B00275,1,'01740,1957.0,1,54.0,16,0.0,1.0,0.0
129,187,221,Closed,655.0,7/28/2011 16:57:00,3.0,7/28/2011 17:08:00,25.0,B00414,1,'02118,1985.0,1,26.0,16,0.0,1.0,0.0
130,188,222,Closed,13314.0,7/28/2011 16:59:00,33.0,7/28/2011 20:41:00,35.0,B00121,1,'02138,1981.0,1,30.0,16,0.0,1.0,0.0
131,189,223,Closed,590.0,7/28/2011 17:00:00,44.0,7/28/2011 17:10:00,22.0,B00487,1,'02351,1978.0,1,33.0,17,0.0,1.0,0.0
132,191,226,Closed,1105.0,7/28/2011 17:03:00,10.0,7/28/2011 17:21:00,12.0,B00406,1,'02130,1980.0,0,31.0,17,1.0,0.0,0.0
